2017-18 Rank,Rank in the most recent five years,School Name,City,School Name+city,2017-18 Rating,Rating in the most recent five years,Rating in the most recent five years adj,latitude,Longitude
476/852,406/664,Father Leonard Van Tighem,Lethbridge,"Father Leonard Van Tighem school, Lethbridge, AB, Canada",5.9,5.8,,,
476/852,455/664,Blessed Kateri Tekakwitha,Calgary,"Blessed Kateri Tekakwitha school, Calgary, AB, Canada",5.9,5.5,5.5,,
476/852,482/664,E E Oliver,Fairview,"E E Oliver school, Fairview, AB, Canada",5.9,5.3,,,
476/852,482/664,Routhier,Falher,"Routhier school, Falher, AB, Canada",5.9,5.3,,,
476/852,482/664,Thorhild Central,Thorhild,"Thorhild Central school, Thorhild, AB, Canada",5.9,5.3,,,
476/852,536/664,Linsford Park,Leduc,"Linsford Park school, Leduc, AB, Canada",5.9,4.9,,,
476/852,547/664,George Davison,Medicine Hat,"George Davison school, Medicine Hat, AB, Canada",5.9,4.8,,,
476/852,n/a,Calgary Academy,Calgary,"Calgary Academy school, Calgary, AB, Canada",5.9,n/a,5.9,,
476/852,n/a,Christ-King,Stettler,"Christ-King school, Stettler, AB, Canada",5.9,n/a,,,
476/852,n/a,Footprints for Learning,Airdrie,"Footprints for Learning school, Airdrie, AB, Canada",5.9,n/a,,,
476/852,n/a,Noble Central,Nobleford,"Noble Central school, Nobleford, AB, Canada",5.9,n/a,,,
476/852,n/a,Nouvelle Fronti??re,Grande Prairie,"Nouvelle Fronti??re school, Grande Prairie, AB, Canada",5.9,n/a,,,
476/852,n/a,Our Lady of Victories,Edmonton,"Our Lady of Victories school, Edmonton, AB, Canada",5.9,n/a,,,
476/852,n/a,Sacred Heart,Calgary,"Sacred Heart school, Calgary, AB, Canada",5.9,n/a,5.9,,
476/852,n/a,St. Andrew,Calgary,"St. Andrew school, Calgary, AB, Canada",5.9,n/a,5.9,,
476/852,n/a,Walter & Gladys Hill,Fort McMurray,"Walter & Gladys Hill school, Fort McMurray, AB, Canada",5.9,n/a,,,
504/852,302/664,Albert Lacombe,St. Albert,"Albert Lacombe school, St. Albert, AB, Canada",5.8,6.3,,,
504/852,344/664,St. Maria Goretti,Edmonton,"St. Maria Goretti school, Edmonton, AB, Canada",5.8,6.1,,,
504/852,364/664,St. Michael's,Medicine Hat,"St. Michael's school, Medicine Hat, AB, Canada",5.8,6,,,
504/852,385/664,Alexander Forbes,Grande Prairie,"Alexander Forbes school, Grande Prairie, AB, Canada",5.8,5.9,,,
504/852,421/664,Eastbrook,Brooks,"Eastbrook school, Brooks, AB, Canada",5.8,5.7,,,
504/852,421/664,Gabrielle-Roy,Edmonton,"Gabrielle-Roy school, Edmonton, AB, Canada",5.8,5.7,,,
504/852,421/664,Glen Avon Protestant,St. Paul,"Glen Avon Protestant school, St. Paul, AB, Canada",5.8,5.7,,,
504/852,421/664,Good Shepherd,Peace River,"Good Shepherd school, Peace River, AB, Canada",5.8,5.7,,,
504/852,421/664,Hardisty,Edmonton,"Hardisty school, Edmonton, AB, Canada",5.8,5.7,,,
504/852,444/664,Vital Grandin,St. Albert,"Vital Grandin school, St. Albert, AB, Canada",5.8,5.6,,,
504/852,465/664,Burdett,Burdett,"Burdett school, Burdett, AB, Canada",5.8,5.4,,,
504/852,499/664,Our Lady of The Prairies,Edmonton,"Our Lady of The Prairies school, Edmonton, AB, Canada",5.8,5.2,,,
504/852,499/664,Waverley,Edmonton,"Waverley school, Edmonton, AB, Canada",5.8,5.2,,,
504/852,n/a,Beau Meadow,Beaumont,"Beau Meadow school, Beaumont, AB, Canada",5.8,n/a,,,
504/852,n/a,Dr. Ken Sauer,Medicine Hat,"Dr. Ken Sauer school, Medicine Hat, AB, Canada",5.8,n/a,,,
504/852,n/a,Joussard,Joussard,"Joussard school, Joussard, AB, Canada",5.8,n/a,,,
520/852,246/664,Bisset,Edmonton,"Bisset school, Edmonton, AB, Canada",5.7,6.6,,,
520/852,266/664,Lansdowne,Edmonton,"Lansdowne school, Edmonton, AB, Canada",5.7,6.5,,,
520/852,320/664,St. Patrick,Calgary,"St. Patrick school, Calgary, AB, Canada",5.7,6.2,6.2,,
520/852,344/664,Velma E. Baker,Edmonton,"Velma E. Baker school, Edmonton, AB, Canada",5.7,6.1,,,
520/852,364/664,Bentley,Bentley,"Bentley school, Bentley, AB, Canada",5.7,6,,,
520/852,364/664,Sacred Heart,Wetaskiwin,"Sacred Heart school, Wetaskiwin, AB, Canada",5.7,6,,,
520/852,385/664,St. Augustine,Ponoka,"St. Augustine school, Ponoka, AB, Canada",5.7,5.9,,,
520/852,421/664,John Paul II,Stony Plain,"John Paul II school, Stony Plain, AB, Canada",5.7,5.7,,,
520/852,421/664,Stanley Jones,Calgary,"Stanley Jones school, Calgary, AB, Canada",5.7,5.7,5.7,,
520/852,455/664,Bishop Savaryn,Edmonton,"Bishop Savaryn school, Edmonton, AB, Canada",5.7,5.5,,,
520/852,455/664,Onoway,Onoway,"Onoway school, Onoway, AB, Canada",5.7,5.5,,,
520/852,499/664,Holy Family,Edmonton,"Holy Family school, Edmonton, AB, Canada",5.7,5.2,,,
520/852,657/664,Montrose,Edmonton,"Montrose school, Edmonton, AB, Canada",5.7,2.4,,,
520/852,n/a,Carbon,Carbon,"Carbon school, Carbon, AB, Canada",5.7,n/a,,,
520/852,n/a,Good Shepherd,Fort McMurray,"Good Shepherd school, Fort McMurray, AB, Canada",5.7,n/a,,,
520/852,n/a,St. Paul's,Fort McMurray,"St. Paul's school, Fort McMurray, AB, Canada",5.7,n/a,,,
520/852,n/a,Timberlea,Fort McMurray,"Timberlea school, Fort McMurray, AB, Canada",5.7,n/a,,,
537/852,227/664,Laurier Heights,Edmonton,"Laurier Heights school, Edmonton, AB, Canada",5.6,6.7,,,
537/852,246/664,Daysland,Daysland,"Daysland school, Daysland, AB, Canada",5.6,6.6,,,
537/852,302/664,St. Anthony's,Drumheller,"St. Anthony's school, Drumheller, AB, Canada",5.6,6.3,,,
537/852,344/664,Herald,Medicine Hat,"Herald school, Medicine Hat, AB, Canada",5.6,6.1,,,
537/852,406/664,Camille J Lerouge,Red Deer,"Camille J Lerouge school, Red Deer, AB, Canada",5.6,5.8,,,
537/852,421/664,de la Source,Calgary,"de la Source school, Calgary, AB, Canada",5.6,5.7,5.7,,
537/852,421/664,Medicine Hat Christian,Medicine Hat,"Medicine Hat Christian school, Medicine Hat, AB, Canada",5.6,5.7,,,
537/852,444/664,Ranchlands,Calgary,"Ranchlands school, Calgary, AB, Canada",5.6,5.6,5.6,,
537/852,455/664,Percy Pegler,Okotoks,"Percy Pegler school, Okotoks, AB, Canada",5.6,5.5,,,
537/852,465/664,Prince of Peace Lutheran,Calgary,"Prince of Peace Lutheran school, Calgary, AB, Canada",5.6,5.4,5.4,,
537/852,465/664,St. Thomas More,Fairview,"St. Thomas More school, Fairview, AB, Canada",5.6,5.4,,,
537/852,482/664,Fort Saskatchewan,Fort Saskatchewan,"Fort Saskatchewan school, Fort Saskatchewan, AB, Canada",5.6,5.3,,,
537/852,482/664,H. A. Kostash,Smoky Lake,"H. A. Kostash school, Smoky Lake, AB, Canada",5.6,5.3,,,
537/852,520/664,Baturyn,Edmonton,"Baturyn school, Edmonton, AB, Canada",5.6,5,,,
537/852,520/664,St. Martha,Calgary,"St. Martha school, Calgary, AB, Canada",5.6,5,5,,
537/852,536/664,A. L. Horton,Vegreville,"A. L. Horton school, Vegreville, AB, Canada",5.6,4.9,,,
537/852,560/664,Kateri Mission,Grande Prairie,"Kateri Mission school, Grande Prairie, AB, Canada",5.6,4.7,,,
537/852,573/664,Deer Run,Calgary,"Deer Run school, Calgary, AB, Canada",5.6,4.6,4.6,,
537/852,592/664,Callingwood,Edmonton,"Callingwood school, Edmonton, AB, Canada",5.6,4.4,,,
537/852,606/664,Mount Royal,Edmonton,"Mount Royal school, Edmonton, AB, Canada",5.6,4.1,,,
537/852,n/a,Stavely,Stavely,"Stavely school, Stavely, AB, Canada",5.6,n/a,,,
558/852,246/664,Hawkwood,Calgary,"Hawkwood school, Calgary, AB, Canada",5.5,6.6,6.6,,
558/852,320/664,Rutherford,Edmonton,"Rutherford school, Edmonton, AB, Canada",5.5,6.2,,,
558/852,320/664,St. Bede,Calgary,"St. Bede school, Calgary, AB, Canada",5.5,6.2,6.2,,
558/852,320/664,Turner Valley,Turner Valley,"Turner Valley school, Turner Valley, AB, Canada",5.5,6.2,,,
558/852,344/664,St. Marguerite Bourgeoys,Innisfail,"St. Marguerite Bourgeoys school, Innisfail, AB, Canada",5.5,6.1,,,
558/852,385/664,Duggan,Edmonton,"Duggan school, Edmonton, AB, Canada",5.5,5.9,,,
558/852,406/664,St. Edmund,Edmonton,"St. Edmund school, Edmonton, AB, Canada",5.5,5.8,,,
558/852,421/664,East Elementary,Leduc,"East Elementary school, Leduc, AB, Canada",5.5,5.7,,,
558/852,421/664,Elizabeth Finch,Edmonton,"Elizabeth Finch school, Edmonton, AB, Canada",5.5,5.7,,,
558/852,444/664,St. Henry,Calgary,"St. Henry school, Calgary, AB, Canada",5.5,5.6,5.6,,
558/852,455/664,St. Martha,Edmonton,"St. Martha school, Edmonton, AB, Canada",5.5,5.5,,,
558/852,n/a,Centennial,Wetaskiwin,"Centennial school, Wetaskiwin, AB, Canada",5.5,n/a,,,
558/852,n/a,Holy Trinity,Olds,"Holy Trinity school, Olds, AB, Canada",5.5,n/a,,,
558/852,n/a,St. Gerard,Edmonton,"St. Gerard school, Edmonton, AB, Canada",5.5,n/a,,,
572/852,190/664,Keheewin,Edmonton,"Keheewin school, Edmonton, AB, Canada",5.4,7,,,
572/852,283/664,Lago Lindo,Edmonton,"Lago Lindo school, Edmonton, AB, Canada",5.4,6.4,,,
572/852,320/664,Elmer Elson,Mayerthorpe,"Elmer Elson school, Mayerthorpe, AB, Canada",5.4,6.2,,,
572/852,344/664,Chinook Park,Calgary,"Chinook Park school, Calgary, AB, Canada",5.4,6.1,6.1,,
572/852,344/664,Graminia,Spruce Grove,"Graminia school, Spruce Grove, AB, Canada",5.4,6.1,,,
572/852,364/664,Holy Redeemer,Ardrossan,"Holy Redeemer school, Ardrossan, AB, Canada",5.4,6,,,
572/852,421/664,Caernarvon,Edmonton,"Caernarvon school, Edmonton, AB, Canada",5.4,5.7,,,
572/852,421/664,Glendale,Calgary,"Glendale school, Calgary, AB, Canada",5.4,5.7,5.7,,
572/852,421/664,Julia Kiniski,Edmonton,"Julia Kiniski school, Edmonton, AB, Canada",5.4,5.7,,,
572/852,444/664,St. Catherine's,Picture Butte,"St. Catherine's school, Picture Butte, AB, Canada",5.4,5.6,,,
572/852,499/664,Broxton Park,Spruce Grove,"Broxton Park school, Spruce Grove, AB, Canada",5.4,5.2,,,
572/852,520/664,River Heights,Medicine Hat,"River Heights school, Medicine Hat, AB, Canada",5.4,5,,,
572/852,560/664,Bassano,Bassano,"Bassano school, Bassano, AB, Canada",5.4,4.7,,,
572/852,603/664,St. Elizabeth,Edmonton,"St. Elizabeth school, Edmonton, AB, Canada",5.4,4.2,,,
572/852,n/a,Blackie,Blackie,"Blackie school, Blackie, AB, Canada",5.4,n/a,,,
572/852,n/a,Busby,Busby,"Busby school, Busby, AB, Canada",5.4,n/a,,,
572/852,n/a,Horse Hill,Edmonton,"Horse Hill school, Edmonton, AB, Canada",5.4,n/a,,,
572/852,n/a,Stettler,Stettler,"Stettler school, Stettler, AB, Canada",5.4,n/a,,,
590/852,283/664,St. Mary's,Sexsmith,"St. Mary's school, Sexsmith, AB, Canada",5.3,6.4,,,
590/852,320/664,Major General Griesbach,Edmonton,"Major General Griesbach school, Edmonton, AB, Canada",5.3,6.2,,,
590/852,364/664,St. Matthew,Edmonton,"St. Matthew school, Edmonton, AB, Canada",5.3,6,,,
590/852,385/664,St. Gerard,Grande Prairie,"St. Gerard school, Grande Prairie, AB, Canada",5.3,5.9,,,
590/852,406/664,Wheatland,Strathmore,"Wheatland school, Strathmore, AB, Canada",5.3,5.8,,,
590/852,421/664,Fraser,Edmonton,"Fraser school, Edmonton, AB, Canada",5.3,5.7,,,
590/852,455/664,Mannville,Mannville,"Mannville school, Mannville, AB, Canada",5.3,5.5,,,
590/852,465/664,Monterey Park,Calgary,"Monterey Park school, Calgary, AB, Canada",5.3,5.4,5.4,,
590/852,465/664,Our Lady Queen of Peace,Airdrie,"Our Lady Queen of Peace school, Airdrie, AB, Canada",5.3,5.4,,,
590/852,499/664,Belvedere Parkway,Calgary,"Belvedere Parkway school, Calgary, AB, Canada",5.3,5.2,5.2,,
590/852,499/664,St. Andrew's,High Prairie,"St. Andrew's school, High Prairie, AB, Canada",5.3,5.2,,,
590/852,573/664,Plamondon,Plamondon,"Plamondon school, Plamondon, AB, Canada",5.3,4.6,,,
590/852,n/a,Foothills,Calgary,"Foothills school, Calgary, AB, Canada",5.3,n/a,5.3,,
603/852,190/664,New Norway,New Norway,"New Norway school, New Norway, AB, Canada",5.2,7,,,
603/852,344/664,Hay Lakes,Hay Lakes,"Hay Lakes school, Hay Lakes, AB, Canada",5.2,6.1,,,
603/852,364/664,Holy Cross,Cold Lake,"Holy Cross school, Cold Lake, AB, Canada",5.2,6,,,
603/852,385/664,Airdrie,Airdrie,"Airdrie school, Airdrie, AB, Canada",5.2,5.9,,,
603/852,385/664,Calgary Islamic,Calgary,"Calgary Islamic school, Calgary, AB, Canada",5.2,5.9,5.9,,
603/852,385/664,St. Clement,Edmonton,"St. Clement school, Edmonton, AB, Canada",5.2,5.9,,,
603/852,385/664,Westlock,Westlock,"Westlock school, Westlock, AB, Canada",5.2,5.9,,,
603/852,444/664,Warburg,Warburg,"Warburg school, Warburg, AB, Canada",5.2,5.6,,,
603/852,455/664,St. Charles,Edmonton,"St. Charles school, Edmonton, AB, Canada",5.2,5.5,,,
603/852,499/664,Sakaw,Edmonton,"Sakaw school, Edmonton, AB, Canada",5.2,5.2,,,
603/852,515/664,Taber Central,Taber,"Taber Central school, Taber, AB, Canada",5.2,5.1,,,
603/852,560/664,Alex Munro,Calgary,"Alex Munro school, Calgary, AB, Canada",5.2,4.7,4.7,,
603/852,573/664,Daly Grove,Edmonton,"Daly Grove school, Edmonton, AB, Canada",5.2,4.6,,,
603/852,585/664,Chief Justice Milvain,Calgary,"Chief Justice Milvain school, Calgary, AB, Canada",5.2,4.5,4.5,,
603/852,n/a,St. Thomas Aquinas,Edmonton,"St. Thomas Aquinas school, Edmonton, AB, Canada",5.2,n/a,,,
603/852,n/a,Steffie Woima,Sylvan Lake,"Steffie Woima school, Sylvan Lake, AB, Canada",5.2,n/a,,,
619/852,246/664,Monsignor Neville Anderson,Calgary,"Monsignor Neville Anderson school, Calgary, AB, Canada",5.1,6.6,6.6,,
619/852,444/664,Condor,Condor,"Condor school, Condor, AB, Canada",5.1,5.6,,,
619/852,465/664,St. Benedict,Edmonton,"St. Benedict school, Edmonton, AB, Canada",5.1,5.4,,,
619/852,482/664,St. Luke,Sherwood Park,"St. Luke school, Sherwood Park, AB, Canada",5.1,5.3,,,
619/852,499/664,Youngstown,Edmonton,"Youngstown school, Edmonton, AB, Canada",5.1,5.2,,,
619/852,515/664,Corinthia Park,Leduc,"Corinthia Park school, Leduc, AB, Canada",5.1,5.1,,,
619/852,515/664,St. Martin's,Vegreville,"St. Martin's school, Vegreville, AB, Canada",5.1,5.1,,,
619/852,520/664,Delburne,Delburne,"Delburne school, Delburne, AB, Canada",5.1,5,,,
619/852,536/664,Cedarbrae,Calgary,"Cedarbrae school, Calgary, AB, Canada",5.1,4.9,4.9,,
619/852,536/664,Jasper,Jasper,"Jasper school, Jasper, AB, Canada",5.1,4.9,,,
619/852,536/664,St. Peter,Calgary,"St. Peter school, Calgary, AB, Canada",5.1,4.9,4.9,,
619/852,547/664,Duffield,Duffield,"Duffield school, Duffield, AB, Canada",5.1,4.8,,,
619/852,573/664,St. Vladimir,Edmonton,"St. Vladimir school, Edmonton, AB, Canada",5.1,4.6,,,
619/852,597/664,Ridgevalley,Crooked Creek,"Ridgevalley school, Crooked Creek, AB, Canada",5.1,4.3,,,
619/852,n/a,Dickinsfield,Fort McMurray,"Dickinsfield school, Fort McMurray, AB, Canada",5.1,n/a,,,
619/852,n/a,East Lake,Chestermere,"East Lake school, Chestermere, AB, Canada",5.1,n/a,,,
619/852,n/a,RancheView,Cochrane,"RancheView school, Cochrane, AB, Canada",5.1,n/a,,,
619/852,n/a,Roy Bickell,Grande Prairie,"Roy Bickell school, Grande Prairie, AB, Canada",5.1,n/a,,,
619/852,n/a,Whispering Ridge,Grande Prairie,"Whispering Ridge school, Grande Prairie, AB, Canada",5.1,n/a,,,
638/852,406/664,St. Philip,Edmonton,"St. Philip school, Edmonton, AB, Canada",5,5.8,,,
638/852,465/664,Vincent Massey,Medicine Hat,"Vincent Massey school, Medicine Hat, AB, Canada",5,5.4,,,
638/852,482/664,Glengarry,Edmonton,"Glengarry school, Edmonton, AB, Canada",5,5.3,,,
638/852,499/664,Aldergrove,Edmonton,"Aldergrove school, Edmonton, AB, Canada",5,5.2,,,
638/852,499/664,Connaught,Medicine Hat,"Connaught school, Medicine Hat, AB, Canada",5,5.2,,,
638/852,499/664,St. Basil,Edmonton,"St. Basil school, Edmonton, AB, Canada",5,5.2,,,
638/852,520/664,Blessed Damien,Calgary,"Blessed Damien school, Calgary, AB, Canada",5,5,5,,
638/852,573/664,Richmond,Calgary,"Richmond school, Calgary, AB, Canada",5,4.6,4.6,,
638/852,585/664,Meridian Heights,Stony Plain,"Meridian Heights school, Stony Plain, AB, Canada",5,4.5,,,
638/852,597/664,Ross Glen,Medicine Hat,"Ross Glen school, Medicine Hat, AB, Canada",5,4.3,,,
638/852,603/664,Mother Teresa,Edmonton,"Mother Teresa school, Edmonton, AB, Canada",5,4.2,,,
638/852,606/664,Pere-Lacombe,Edmonton,"Pere-Lacombe school, Edmonton, AB, Canada",5,4.1,,,
638/852,606/664,St. Alphonsus,Edmonton,"St. Alphonsus school, Edmonton, AB, Canada",5,4.1,,,
638/852,620/664,Buchanan,Calgary,"Buchanan school, Calgary, AB, Canada",5,3.9,3.9,,
638/852,n/a,du Sommet,St. Paul,"du Sommet school, St. Paul, AB, Canada",5,n/a,,,
638/852,n/a,Prescott,Spruce Grove,"Prescott school, Spruce Grove, AB, Canada",5,n/a,,,
638/852,n/a,Rosemary,Rosemary,"Rosemary school, Rosemary, AB, Canada",5,n/a,,,
638/852,n/a,Uplands,Brooks,"Uplands school, Brooks, AB, Canada",5,n/a,,,
638/852,n/a,Westview,Fort McMurray,"Westview school, Fort McMurray, AB, Canada",5,n/a,,,
657/852,283/664,Art Smith Aviation,Cold Lake,"Art Smith Aviation school, Cold Lake, AB, Canada",4.9,6.4,,,
657/852,364/664,Haultain Memorial,Calgary,"Haultain Memorial school, Calgary, AB, Canada",4.9,6,6,,
657/852,482/664,J A Fife,Edmonton,"J A Fife school, Edmonton, AB, Canada",4.9,5.3,,,
657/852,520/664,Belvedere,Edmonton,"Belvedere school, Edmonton, AB, Canada",4.9,5,,,
657/852,520/664,Webster Niblock,Medicine Hat,"Webster Niblock school, Medicine Hat, AB, Canada",4.9,5,,,
657/852,520/664,Willow Park,Leduc,"Willow Park school, Leduc, AB, Canada",4.9,5,,,
657/852,560/664,Holy Cross,Calgary,"Holy Cross school, Calgary, AB, Canada",4.9,4.7,4.7,,
657/852,n/a,Bellevue,Beaumont,"Bellevue school, Beaumont, AB, Canada",4.9,n/a,,,
657/852,n/a,Fort McMurray Islamic,Fort McMurray,"Fort McMurray Islamic school, Fort McMurray, AB, Canada",4.9,n/a,,,
657/852,n/a,St. Louis,Medicine Hat,"St. Louis school, Medicine Hat, AB, Canada",4.9,n/a,,,
657/852,n/a,St. Teresa of Calcutta,Lethbridge,"St. Teresa of Calcutta school, Lethbridge, AB, Canada",4.9,n/a,,,
657/852,n/a,Windsong Heights,Airdrie,"Windsong Heights school, Airdrie, AB, Canada",4.9,n/a,,,
669/852,385/664,Parkallen,Edmonton,"Parkallen school, Edmonton, AB, Canada",4.8,5.9,,,
669/852,385/664,St. Gabriel,Edmonton,"St. Gabriel school, Edmonton, AB, Canada",4.8,5.9,,,
669/852,406/664,Mother Teresa,Grande Prairie,"Mother Teresa school, Grande Prairie, AB, Canada",4.8,5.8,,,
669/852,421/664,McKee,Edmonton,"McKee school, Edmonton, AB, Canada",4.8,5.7,,,
669/852,465/664,Crossing Park,Calgary,"Crossing Park school, Calgary, AB, Canada",4.8,5.4,5.4,,
669/852,465/664,Ethel M. Johnson,Calgary,"Ethel M. Johnson school, Calgary, AB, Canada",4.8,5.4,5.4,,
669/852,520/664,Griffin Park,Brooks,"Griffin Park school, Brooks, AB, Canada",4.8,5,,,
669/852,520/664,Holy Family,Grimshaw,"Holy Family school, Grimshaw, AB, Canada",4.8,5,,,
669/852,560/664,St. Augustine,Edmonton,"St. Augustine school, Edmonton, AB, Canada",4.8,4.7,,,
669/852,n/a,Arrowwood,Arrowwood,"Arrowwood school, Arrowwood, AB, Canada",4.8,n/a,,,
669/852,n/a,C. P. Blakely,Sylvan Lake,"C. P. Blakely school, Sylvan Lake, AB, Canada",4.8,n/a,,,
669/852,n/a,Father J A Turcotte,Fort McMurray,"Father J A Turcotte school, Fort McMurray, AB, Canada",4.8,n/a,,,
669/852,n/a,Forestburg,Forestburg,"Forestburg school, Forestburg, AB, Canada",4.8,n/a,,,
669/852,n/a,Montrose,Grande Prairie,"Montrose school, Grande Prairie, AB, Canada",4.8,n/a,,,
683/852,344/664,Caroline,Caroline,"Caroline school, Caroline, AB, Canada",4.7,6.1,,,
683/852,482/664,Central High Sedgewick,Sedgewick,"Central High Sedgewick school, Sedgewick, AB, Canada",4.7,5.3,,,
683/852,499/664,Belfast,Calgary,"Belfast school, Calgary, AB, Canada",4.7,5.2,5.2,,
683/852,499/664,Ormsby,Edmonton,"Ormsby school, Edmonton, AB, Canada",4.7,5.2,,,
683/852,520/664,Steinhauer,Edmonton,"Steinhauer school, Edmonton, AB, Canada",4.7,5,,,
683/852,536/664,Westmount,Strathmore,"Westmount school, Strathmore, AB, Canada",4.7,4.9,,,
683/852,560/664,Crescent Valley,Hinton,"Crescent Valley school, Hinton, AB, Canada",4.7,4.7,,,
683/852,573/664,Barrhead,Barrhead,"Barrhead school, Barrhead, AB, Canada",4.7,4.6,,,
683/852,606/664,Douglas Harkness,Calgary,"Douglas Harkness school, Calgary, AB, Canada",4.7,4.1,4.1,,
683/852,614/664,St. Patricks,Red Deer,"St. Patricks school, Red Deer, AB, Canada",4.7,4,,,
683/852,627/664,Blue Hills,Buffalo Head Prairie,"Blue Hills school, Buffalo Head Prairie, AB, Canada",4.7,3.8,,,
683/852,n/a,Christ the King,Edmonton,"Christ the King school, Edmonton, AB, Canada",4.7,n/a,,,
683/852,n/a,Donald R. Getty,Edmonton,"Donald R. Getty school, Edmonton, AB, Canada",4.7,n/a,,,
683/852,n/a,Riverstone,Grande Prairie,"Riverstone school, Grande Prairie, AB, Canada",4.7,n/a,,,
683/852,n/a,St. Brendan,Edmonton,"St. Brendan school, Edmonton, AB, Canada",4.7,n/a,,,
698/852,214/664,Ascension of Our Lord,Calgary,"Ascension of Our Lord school, Calgary, AB, Canada",4.6,6.8,6.8,,
698/852,406/664,Guthrie,Lancaster Park,"Guthrie school, Lancaster Park, AB, Canada",4.6,5.8,,,
698/852,547/664,Bashaw,Bashaw,"Bashaw school, Bashaw, AB, Canada",4.6,4.8,,,
698/852,547/664,Canyon,Pincher Creek,"Canyon school, Pincher Creek, AB, Canada",4.6,4.8,,,
698/852,560/664,John Paul II,Calgary,"John Paul II school, Calgary, AB, Canada",4.6,4.7,4.7,,
698/852,614/664,G H Dawe,Red Deer,"G H Dawe school, Red Deer, AB, Canada",4.6,4,,,
698/852,n/a,Prairie Christian,Three Hills,"Prairie Christian school, Three Hills, AB, Canada",4.6,n/a,,,
698/852,n/a,Princeton,Edmonton,"Princeton school, Edmonton, AB, Canada",4.6,n/a,,,
706/852,465/664,Father Lacombe,Lacombe,"Father Lacombe school, Lacombe, AB, Canada",4.5,5.4,,,
706/852,482/664,Huntington Hills,Calgary,"Huntington Hills school, Calgary, AB, Canada",4.5,5.3,5.3,,
706/852,482/664,Lymburn,Edmonton,"Lymburn school, Edmonton, AB, Canada",4.5,5.3,,,
706/852,547/664,Kensington,Edmonton,"Kensington school, Edmonton, AB, Canada",4.5,4.8,,,
706/852,573/664,Delwood,Edmonton,"Delwood school, Edmonton, AB, Canada",4.5,4.6,,,
706/852,573/664,Grant MacEwan,Calgary,"Grant MacEwan school, Calgary, AB, Canada",4.5,4.6,4.6,,
706/852,573/664,Scott Robertson,Edmonton,"Scott Robertson school, Edmonton, AB, Canada",4.5,4.6,,,
706/852,620/664,St. Cyril,Calgary,"St. Cyril school, Calgary, AB, Canada",4.5,3.9,3.9,,
706/852,659/664,Balwin,Edmonton,"Balwin school, Edmonton, AB, Canada",4.5,1.8,,,
706/852,n/a,Ralston,Ralston,"Ralston school, Ralston, AB, Canada",4.5,n/a,,,
716/852,246/664,Holden,Holden,"Holden school, Holden, AB, Canada",4.4,6.6,,,
716/852,536/664,Glendale,Edmonton,"Glendale school, Edmonton, AB, Canada",4.4,4.9,,,
716/852,547/664,St. Angela,Edmonton,"St. Angela school, Edmonton, AB, Canada",4.4,4.8,,,
716/852,n/a,Crestomere,Lacombe,"Crestomere school, Lacombe, AB, Canada",4.4,n/a,,,
720/852,455/664,Crystal Park,Grande Prairie,"Crystal Park school, Grande Prairie, AB, Canada",4.3,5.5,,,
720/852,547/664,Katherine Therrien,Edmonton,"Katherine Therrien school, Edmonton, AB, Canada",4.3,4.8,,,
720/852,560/664,Overlanders,Edmonton,"Overlanders school, Edmonton, AB, Canada",4.3,4.7,,,
720/852,585/664,St. Leo,Edmonton,"St. Leo school, Edmonton, AB, Canada",4.3,4.5,,,
720/852,606/664,Rundle,Calgary,"Rundle school, Calgary, AB, Canada",4.3,4.1,4.1,,
720/852,620/664,Clairmont,Clairmont,"Clairmont school, Clairmont, AB, Canada",4.3,3.9,,,
720/852,620/664,Guy Weadick,Calgary,"Guy Weadick school, Calgary, AB, Canada",4.3,3.9,3.9,,
720/852,620/664,High Prairie,High Prairie,"High Prairie school, High Prairie, AB, Canada",4.3,3.9,,,
720/852,631/664,Prince Charles,Edmonton,"Prince Charles school, Edmonton, AB, Canada",4.3,3.7,,,
720/852,644/664,Glendale Sciences,Red Deer,"Glendale Sciences school, Red Deer, AB, Canada",4.3,3.1,,,
720/852,646/664,Evansdale,Edmonton,"Evansdale school, Edmonton, AB, Canada",4.3,3,,,
720/852,n/a,Notre-Dame des Monts,Canmore,"Notre-Dame des Monts school, Canmore, AB, Canada",4.3,n/a,,,
720/852,n/a,St. Gregory The Great,Blackfalds,"St. Gregory The Great school, Blackfalds, AB, Canada",4.3,n/a,,,
733/852,364/664,Oliver,Edmonton,"Oliver school, Edmonton, AB, Canada",4.2,6,,,
733/852,444/664,St. Rupert,Calgary,"St. Rupert school, Calgary, AB, Canada",4.2,5.6,5.6,,
733/852,465/664,Braeside,Calgary,"Braeside school, Calgary, AB, Canada",4.2,5.4,5.4,,
733/852,482/664,St. Timothy,Edmonton,"St. Timothy school, Edmonton, AB, Canada",4.2,5.3,,,
733/852,536/664,St. Catherine,Edmonton,"St. Catherine school, Edmonton, AB, Canada",4.2,4.9,,,
733/852,573/664,Mountain View,Hinton,"Mountain View school, Hinton, AB, Canada",4.2,4.6,,,
733/852,597/664,York,Edmonton,"York school, Edmonton, AB, Canada",4.2,4.3,,,
733/852,614/664,Grace Martin,Edmonton,"Grace Martin school, Edmonton, AB, Canada",4.2,4,,,
733/852,627/664,John XXIII,Calgary,"John XXIII school, Calgary, AB, Canada",4.2,3.8,3.8,,
